Ata 4D,Resumen
5410,NACELLE SECTION
5450,PYLONS
5500,STABILIZERS
5510,HORIZONTAL STABILIZER
5514,HORIZONTAL STABILIZER TIPS
5520,ELEVATORS
5530,VERTICAL STABILIZER
5540,RUDDER
5600,WINDOWS
5610,FOD BIRD WINDSHIELD
5610,FOD LIGHTINING STRIKE
5611,FIXED WINDOWS
5612,SLIDING WINDOWS
5621,CABIN WINDOWS
5631,PASSANGER / CREW DOOR WINDOWS
5700,WINGS
5726,SIDE STAY FITTING
5730,WING TIP
5740,LEADING EDGE AND LEADING EDGE DEVICES
5751,TRAILING EDGE
5752,INBOARD FLAP
5753,OUTBOARD FLAP
5753,FLAP TRACK
5760,AILERONS
5770,SPOILERS
7100,POWER PLANT GENERAL
7110,POWER PLANT GENERAL
7113A,AIR INTAKE COWL
7113B,FOD MASTIL BROKEN
7113C,FAN COWL
7200,ENGINE
7200A,FOD ENGINE
7200B,ENG TGB
7210A,GO AROUND
7210B,SPINNER
7220,ENGINE FAN SECTION
7250,FOD BIRD STRIKE
7300,ENGINE FUEL AND CONTROL
7310,ENG FUEL LEAK
7321,ENG PARAMETERS
7321,ENG SENSORS
7325,ENG EIU
7329,ENG FADEC 
7400,IGNITION
7411,IGNITION POWER SUPPLY
7421,HIGH VOLTAGE DISTRIBUTION
7431,ENG  IGNITION 
7500,ENGINE AIR
7521A,HPTACC
7521B,LPTACC
7521C,FLEX SHAFT
7541,NACELLE TEMPERATURE INDICATING
7600,ENGINE CONTROL
7611,THROTTLE CONTROL
7612,ENGINE MASTER CONTROL
7700,ENGINE INDICATING
7711,POWER
7713,ENG EIU 
7721,ENG E.G.T
7721A,ENG COMPRESOR VANE
7731,VIBRATION SENSORS
7732,ENG VIBRATION
7800,EXHAUST
7800A,THRUST REVERSER
7831,THRUST REVERSER CONTROL & INDICATING
7832,COWL TRAILING
7836,THRUST REVERSER HALF COWL OPEN MECHAN
7900,ENGINE OIL
7931,ENG OIL LEAK
7931,OIL QUANTITY
7932,OIL TEMPERATURE
7933,OIL PRESSURE
7934,LOW OIL PRESSURE WARNING SYST.
7935,ENG CHIP DET
8000,STARTING
8011,ENGINE START 
8013,DUCTING
